City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,thinadhoo,0.5333,72.9333,82.53,82,47,10.56,MV,1708406452
83,georgetown,5.4112,100.3354,89.53,74,20,5.75,MY,1708405982
84,aswan,24.0934,32.907,55.69,51,27,8.12,EG,1708406028
85,macaubas,-13.0194,-42.6986,68.36,99,100,3.22,BR,1708406453
86,dudinka,69.4058,86.1778,1.67,95,100,25.01,RU,1708405962
87,qarqin,37.4185,66.0436,38.12,61,62,3.62,AF,1708406454
88,thompson,55.7435,-97.8558,-13.86,100,92,2.95,CA,1708405706
89,tbeng meanchey,13.8167,104.9667,98.49,31,78,5.48,KH,1708406454
90,debila,33.5167,6.95,51.87,71,0,2.3,DZ,1708406454
91,yuci,37.6803,112.7319,19.15,86,40,11.18,CN,1708406454
92,guledagudda,16.05,75.8,85.69,29,41,8.9,IN,1708406455
93,vadso,70.0744,29.7487,22.08,73,20,19.57,NO,1708405974
94,salalah,17.0151,54.0924,78.89,65,40,0.0,OM,1708406455
95,tlaxco,19.6167,-98.1167,50.09,34,0,4.09,MX,1708406455
96,lauro de freitas,-12.8944,-38.3272,80.62,94,75,3.44,BR,1708406242
97,palmer,42.1584,-72.3287,23.41,48,0,6.91,US,1708405980
98,mount gambier,-37.8333,140.7667,80.22,39,100,2.13,AU,1708406456
99,fort mcmurray,56.7268,-111.381,5.52,100,86,1.68,CA,1708405886
100,puerto ayora,-0.7393,-90.3518,77.56,98,100,3.0,EC,1708405971
101,east london,-33.0153,27.9116,71.44,78,4,15.68,ZA,1708405960
102,uturoa,-16.7333,-151.4333,82.49,78,95,6.71,PF,1708406010
103,tazovsky,67.4667,78.7,8.78,90,100,20.15,RU,1708405968
104,vera,-29.4593,-60.2126,76.12,56,60,4.43,AR,1708406457
105,port elizabeth,-33.918,25.5701,67.32,97,100,5.75,ZA,1708405925
106,sougueur,35.1857,1.4961,41.13,100,33,4.61,DZ,1708406457
107,carnarvon,-24.8667,113.6333,92.93,46,97,14.94,AU,1708406011
108,ust-nera,64.5667,143.2,-15.93,92,100,5.1,RU,1708405959
109,palembang,-2.9167,104.7458,92.16,54,29,2.51,ID,1708406435
110,valparaiso,-33.0393,-71.6273,65.84,77,100,4.61,CL,1708405855
111,vernon,50.2581,-119.2691,38.75,87,100,1.01,CA,1708406198
112,antsiranana,-12.2787,49.2917,83.16,78,20,4.61,MG,1708406459
113,puerto baquerizo moreno,-0.9,-89.6,78.58,84,100,9.98,EC,1708405964
114,montrose,38.4166,-108.2673,32.54,60,34,8.01,US,1708406459
115,divnogorsk,55.9594,92.3619,-12.26,77,12,2.1,RU,1708406459
116,atafu village,-8.5421,-172.5159,83.97,74,100,10.49,TK,1708405957
117,parang,7.3704,124.2697,92.37,41,99,1.72,PH,1708406460
118,tucuma,-0.1833,-50.05,76.05,90,100,5.91,BR,1708406460
119,naracoorte,-36.9579,140.7383,82.15,31,100,9.19,AU,1708406408
120,tura,25.5198,90.2201,78.75,32,0,5.7,IN,1708405969
121,luderitz,-26.6481,15.1594,61.75,90,77,5.19,NA,1708405971
122,cockburn town,21.4612,-71.1419,77.18,82,3,7.2,TC,1708405929
123,keflavik,64.0049,-22.5624,34.23,93,75,4.61,IS,1708406000
124,praia da vitoria,38.7333,-27.0667,62.76,97,92,8.3,PT,1708405929
125,sinan,34.8262,126.1086,42.91,93,100,20.98,KR,1708406461
126,bamyan,34.75,67.25,8.33,95,100,3.87,AF,1708406462
127,cruzeiro do sul,-29.5128,-51.9853,72.09,89,99,1.9,BR,1708406462
128,lower hutt,-41.2167,174.9167,64.31,55,54,17.27,NZ,1708406349
